"SampDate","SpName","TagNo","TL_mm","WT_g","Sex_MFU"
2000-10-17,"Atlantic Salmon","D2034","654","2900","U"
2000-10-17,"Atlantic Salmon","D2035","567","1900","U"
2000-10-17,"Atlantic Salmon","D2036","665","3300","U"
2000-10-17,"Atlantic Salmon","D2037","545","1600","U"
2000-10-17,"Atlantic Salmon","D2038","559","1400","U"
2000-10-17,"Atlantic Salmon","D2039","541","1700","U"
2000-10-17,"Atlantic Salmon","D2040","608","1800","U"
2000-10-20,"Atlantic Salmon","D2042","545","1600","U"
2000-10-20,"Atlantic Salmon","D2043","570","1600","U"
2000-10-20,"Atlantic Salmon","D2044","410","700","U"
2000-10-20,"Atlantic Salmon","D2045","573","1600","U"
2000-10-20,"Atlantic Salmon","D2046","447","900","U"
2000-11-03,"Atlantic Salmon","D2047","542",NA,"U"
2000-11-03,"Atlantic Salmon","D2048","478","1200","U"
2000-11-03,"Atlantic Salmon","D2049","580","1500","U"
2001-10-02,"Atlantic Salmon","D2050","520",NA,"U"
2001-10-02,"Atlantic Salmon","D2674","435",NA,"U"
2001-10-29,"Atlantic Salmon","D2675","560","2900","U"
2001-10-29,"Atlantic Salmon","D2677","705","3200","U"
2001-11-01,"Atlantic Salmon","D2679","490","1200","U"
2001-11-07,"Atlantic Salmon","D2680","530","1500","U"
2021-05-02,"Atlantic Salmon","D2681","505",NA,"U"
2002-09-27,"Atlantic Salmon","D2682","545",NA,"U"
2002-09-27,"Atlantic Salmon","D2683","540",NA,"U"
2002-10-01,"Atlantic Salmon","D2684","518",NA,"U"
2002-10-01,"Atlantic Salmon","D2685","740","4600","U"
2002-10-01,"Atlantic Salmon","D2686","615",NA,"U"
2002-10-03,"Atlantic Salmon","D2687","505","1600","U"
2002-10-07,"Atlantic Salmon","D2688","565","2100","U"
2002-10-07,"Atlantic Salmon","D2689","540","1800","U"
2002-10-09,"Atlantic Salmon","D2690","532","1700","U"
2002-10-14,"Atlantic Salmon","D2691","598","2200","U"
2002-10-14,"Atlantic Salmon","D2692","632","1600","U"
2002-10-22,"Atlantic Salmon","D2693","592","1800","U"
2002-10-22,"Atlantic Salmon","D2694","491","1100","U"
2002-10-28,"Atlantic Salmon","N/A","560","1700","U"
2002-10-28,"Atlantic Salmon","N/A","567","2100","U"
2002-10-28,"Atlantic Salmon","N/A","575","1600","U"
2002-10-28,"Atlantic Salmon","N/A","492","1200","U"
2002-10-31,"Atlantic Salmon","D2695","560","1500","U"
2002-10-31,"Atlantic Salmon","D2696","635","2600","U"
2002-11-13,"Atlantic Salmon","D2697","492","1200","U"
2002-11-14,"Atlantic Salmon","D2698","528","1700","U"
2003-05-12,"Atlantic Salmon","D2700","575","","U"
2003-05-19,"Atlantic Salmon","D2462","560","","U"
2003-09-30,"Atlantic Salmon","D2479","597","2300","U"
2003-09-30,"Atlantic Salmon","D2480","520","1400","U"
2003-09-30,"Atlantic Salmon","D2481","670","3100","U"
2003-09-30,"Atlantic Salmon","D2482","468","na","U"
2003-10-02,"Atlantic Salmon","D2483","520","1200","U"
2003-10-06,"Atlantic Salmon","D2484","555","1400","U"
2003-10-10,"Atlantic Salmon","D2485","560","1700","U"
2003-10-10,"Atlantic Salmon","D2486","552","1900","U"
2003-10-14,"Atlantic Salmon","D2487","580","2100","U"
2003-10-16,"Atlantic Salmon","D2488","652","2300","U"
2003-10-22,"Atlantic Salmon","D2489","668","3500","U"
2003-10-22,"Atlantic Salmon","D2490","678","3800","U"
2003-10-22,"Atlantic Salmon","D2491","554","1500","U"
2003-10-24,"Atlantic Salmon","D2492","609","2320","U"
2003-11-06,"Atlantic Salmon","D2493","582","1940","U"
2004-09-18,"Atlantic Salmon","D2495","484","1000","U"
2004-09-21,"Atlantic Salmon","D2496","560","1700","F"
2004-09-21,"Atlantic Salmon","D2497","525","1700","F"
2004-09-21,"Atlantic Salmon","D2498","536","1500","F"
2004-10-13,"Atlantic Salmon","D2499","555","1600","M"
2004-10-13,"Atlantic Salmon","D2500","665","3100","F"
2004-10-29,"Atlantic Salmon","D5226","532","1600","M"
2004-11-05,"Atlantic Salmon",NA,"492","1000","M"
2004-11-10,"Atlantic Salmon","D5227","612","1800","M"
2004-11-10,"Atlantic Salmon","D5228","558","1700","F"
2005-09-19,"Atlantic Salmon","D5201","480","1000","F"
2005-09-30,"Atlantic Salmon","D5202","538","1500","F"
2005-10-05,"Atlantic Salmon","D5203","540","1400","M"
2005-10-10,"Atlantic Salmon","D5204","530","1500","F"
2005-10-13,"Atlantic Salmon","D5205","530","1900","M"
2005-10-13,"Atlantic Salmon","D5206","487","1300","F"
2005-10-13,"Atlantic Salmon","D5207","543","1800","M"
2005-10-24,"Atlantic Salmon","D5208","586","1600","M"
2005-10-25,"Atlantic Salmon","D5209","620","2100","M"
